d w z t
72 8 0 0
72 8 0 0
72 8 0 0
72 25 0 0
72 18 0 0
72 43 0 0
72 8 0 0
130 30 1 0
130 2 1 0
130 43 1 0
130 30 1 0
130 34 2 1
189 14 0 0
189 43 0 0
144 33 3 0
144 6 3 0
144 14 3 0
144 16 3 0
144 16 3 0
144 43 3 0
144 6 3 0
159 22 2 0
159 22 2 0
159 43 2 0
159 1 2 0
159 34 2 0
197 43 0 0
197 18 0 0
4 39 2 0
4 36 2 0
4 38 2 0
4 34 2 0
4 38 2 0
4 37 2 1
4 37 2 0
4 38 2 0
4 43 2 1
4 20 2 0
141 43 0 0
82 9 0 0
82 43 0 0
82 5 0 0
99 28 0 0
99 43 1 1
8 29 2 0
8 43 0 1
8 26 2 0
8 9 0 1
8 5 0 1
205 11 0 0
205 43 0 1
95 43 0 0
95 24 0 0
95 41 0 0
95 35 3 1
95 9 0 0
95 41 0 0
139 43 1 0
139 26 1 0
139 29 2 1
139 30 1 0
139 1 1 0
139 39 2 1
107 36 2 0
107 39 2 0
107 34 2 0
107 37 2 0
107 38 2 0
107 20 2 0
107 38 2 0
107 37 2 0
107 43 2 0
107 38 2 0
40 16 3 0
40 6 3 0
40 43 3 0
40 14 3 0
40 6 3 0
40 16 3 0
40 33 3 0
188 43 2 0
188 31 2 0
173 43 0 0
1 15 2 0
1 8 0 1
1 3 2 2
1 43 2 3
1 29 2 0
1 8 0 1
128 34 2 0
128 26 2 0
128 3 2 0
128 32 2 0
128 43 0 1
128 29 2 0
128 13 2 2
13 7 1 0
13 9 1 0
13 2 1 0
13 2 1 0
13 43 1 0
13 33 1 0
129 26 1 0
129 2 1 2
129 24 1 0
129 33 1 0
129 26 1 0
129 21 1 1
129 43 1 0
129 33 1 0
129 3 1 1
5 43 0 0
3 16 3 0
3 43 0 1
121 19 0 0
121 43 0 1
121 9 0 0
121 8 0 0
88 6 3 0
88 43 0 1
17 43 0 0
17 15 1 1
132 11 0 1
132 8 0 1
132 9 0 1
132 43 2 0
132 18 0 2
127 9 1 0
127 43 1 0
167 18 2 0
167 43 2 0
136 36 2 0
136 43 0 1
96 27 0 0
96 43 0 0
96 24 0 0
96 17 0 0
96 17 0 0
187 3 2 0
187 31 5 1
187 29 2 0
187 43 0 2
187 37 2 3
71 40 4 0
71 40 4 0
71 10 4 0
71 40 4 1
71 43 4 1
71 31 4 1
71 40 4 0
108 43 2 0
105 43 2 0
21 19 0 0
21 3 0 0
21 9 0 0
21 43 0 0
29 8 0 0
29 18 0 0
29 43 0 0
29 11 0 1
29 9 0 0
181 43 3 0
6 38 2 0
6 32 2 0
6 13 2 0
6 43 2 0
78 43 0 0
191 6 3 0
191 43 2 1
23 3 1 0
23 3 1 0
23 18 1 0
23 43 1 0
23 3 1 0
23 2 1 0
23 11 1 0
26 26 1 1
26 33 1 1
26 2 1 0
26 43 0 3
26 21 1 1
26 26 3 2
26 24 1 1
26 3 1 1
26 33 1 1
194 25 0 0
194 43 0 0
194 41 0 0
87 43 0 1
87 31 4 0
87 31 4 0
87 9 1 2
122 34 2 0
122 20 2 0
122 36 2 0
122 22 2 0
122 43 2 0
