time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00000 0003 00446 -3993.61657 0.10000 1.00000 0 0 0
    0.00 00001 0003 00418 -3894.36309 0.10000 1.00000 0 0 0
    0.00 00002 0004 00404 -3850.51153 0.10000 1.00000 0 0 0
    0.00 00003 0004 00410 -3884.75724 0.10000 1.00000 0 0 0
    0.00 00004 0004 00404 -3851.49238 0.10000 1.00000 0 0 0
    0.00 00005 0004 00399 -3845.87229 0.10000 1.00000 0 0 0
    0.00 00006 0004 00388 -3805.00710 0.10000 1.00000 0 0 0
    0.00 00007 0004 00380 -3740.76739 0.10000 1.00000 0 0 0
    0.00 00008 0004 00399 -3835.92204 0.10000 1.00000 0 0 0
    0.00 00009 0004 00393 -3791.89649 0.10000 1.00000 0 0 0
    0.00 00010 0004 00411 -3814.92433 0.10000 1.00000 0 0 0
    0.00 00011 0004 00405 -3843.68734 0.10000 1.00000 0 0 0
    0.00 00012 0004 00385 -3793.13616 0.10000 1.00000 0 0 0
    0.00 00013 0005 00387 -3832.69814 0.10000 1.00000 0 0 0
    0.00 00014 0005 00392 -3787.87014 0.10000 1.00000 0 0 0
    0.00 00015 0004 00373 -3715.60848 0.10000 1.00000 0 0 0
    0.00 00016 0004 00391 -3734.34052 0.10000 1.00000 0 0 0
    0.00 00017 0004 00399 -3797.97910 0.10000 1.00000 0 0 0
    0.00 00018 0004 00389 -3813.90675 0.10000 1.00000 0 0 0
    0.00 00019 0004 00373 -3736.49631 0.10000 1.00000 0 0 0
    0.00 00020 0004 00381 -3805.45786 0.10000 1.00000 0 0 0
    0.00 00021 0004 00381 -3740.51194 0.10000 1.00000 0 0 0
    0.00 00022 0004 00374 -3711.34837 0.10000 1.00000 0 0 0
    0.00 00023 0004 00389 -3782.33881 0.10000 1.00000 0 0 0
    0.00 00024 0004 00372 -3769.48802 0.10000 1.00000 0 0 0
    0.00 00025 0004 00369 -3683.83631 0.10000 1.00000 0 0 0
    0.00 00026 0004 00364 -3707.60376 0.10000 1.00000 0 0 0
    0.00 00027 0004 00388 -3774.60198 0.10000 1.00000 0 0 0
    0.00 00028 0004 00368 -3735.53442 0.10000 1.00000 0 0 0
    0.00 00029 0005 00393 -3756.21945 0.10000 1.00000 0 0 0
    0.00 00030 0004 00387 -3768.80464 0.10000 1.00000 0 0 0
    0.00 00031 0004 00405 -3821.20668 0.10000 1.00000 0 0 0
    0.00 00032 0004 00405 -3839.92763 0.10000 1.00000 0 0 0
    0.00 00033 0004 00395 -3772.40874 0.10000 1.00000 0 0 0
    0.00 00034 0004 00376 -3765.86943 0.10000 1.00000 0 0 0
